River Plate,Argentina,10652
Boca Juniors,Argentina,8731.1
Grêmio,Brasil,6950.8
Palmeiras,Brasil,6629.9
Nacional,Uruguay,5444.5
Flamengo,Brasil,5140.6
Atlético Nacional,Colombia,4833.3
Peñarol,Uruguay,4632.3
Santos,Brasil,4443.9
Independiente,Argentina,4210
Cerro Porteño,Paraguay,3865.1
Olimpia,Paraguay,3674.4
São Paulo,Brasil,3622.4
Libertad,Paraguay,3584.5
San Lorenzo,Argentina,3305.2
Cruzeiro,Brasil,3286.3
Lanús,Argentina,3219.3
Internacional,Brasil,3208.8
Atlético Mineiro,Brasil,3197.7
Independiente del Valle,Ecuador,3004.5
Independiente Santa Fe,Colombia,3004
Racing Club,Argentina,2887.2
Corinthians,Brasil,2845.3
Athletico Paranaense,Brasil,2791.1
Emelec,Ecuador,2751.8
LDU Quito,Ecuador,2715.1
Junior,Colombia,2683.6
Colo-Colo,Chile,2567.5
Bolívar,Bolivia,2479.1
Universidad Católica,Chile,2475.4
Barcelona de Guayaquil,Ecuador,2400
Estudiantes de La Plata,Argentina,2343.7
Vélez Sarsfield,Argentina,2066.3
Club Guaraní,Paraguay,2051
Sporting Cristal,Perú,1810.2
América de Cali,Colombia,1805.3
Defensa y Justicia,Argentina,1772
Jorge Wilstermann,Bolivia,1738.5
Fluminense,Brasil,1716.6
The Strongest,Bolivia,1677.3
Universidad de Chile,Chile,1660.9
Deportivo Cali,Colombia,1361.6
Rosario Central,Argentina,1250.4
Huracán,Argentina,1229.5
Defensor Sporting Club,Uruguay,1228.9
Universitario de Deportes,Perú,1143.6
Tigres,México,1127
Chapecoense,Brasil,1102.7
Botafogo,Brasil,1080.6
Nacional (Asunción),Paraguay,1066.2
Millonarios,Colombia,1056.6
Alianza Lima,Perú,941.3
Independiente Medellín,Colombia,935.2
Atlético Tucumán,Argentina,933.6
Godoy Cruz,Argentina,930.8
Newell's Old Boys,Argentina,928.7
Vasco da Gama,Brasil,907.6
Caracas FC,Venezuela,852.6
Colón Santa Fe,Argentina,830.8
Deportivo Táchira,Venezuela,779
Unión Española,Chile,744.9
Palestino,Chile,744.6
Deportes Tolima,Colombia,732.4
Delfín,Ecuador,707.5
Arsenal de Sarandí,Argentina,682.6
Pumas UNAM,México,680.1
Bahia,Brasil,636.4
Cobreloa,Chile,633.5
El Nacional,Ecuador,604.3
Zamora FC,Venezuela,591
Melgar,Perú,581.5
América,México,566.7
Real Garcilaso,Perú,562.5
Toluca,México,558.4
Deportivo Lara,Venezuela,548
Montevideo Wanderers,Uruguay,540.8
Coquimbo Unido,Chile,516
Club San José,Bolivia,511.3
Tigre,Argentina,469.1
Guadalajara,México,453.1
Argentinos Juniors,Argentina,445.5
Zulia,Venezuela,430.4
Once Caldas,Colombia,425
Oriente Petrolero,Bolivia,409
Estudiantes de Mérida,Venezuela,368.5
Sportivo Luqueño,Paraguay,350.5
Ponte Preta,Brasil,345.9
Deportes Iquique,Chile,341
Danubio,Uruguay,325.5
Universidad de Concepción,Chile,316.9
Sport,Brasil,315.4
Santos Laguna,México,305.5
Universitario de Sucre,Bolivia,304.5
Cruz Azul,México,304
León,México,299
River Plate (Montevideo),Uruguay,298.8
Club Tijuana,México,293
Deportivo Quito,Ecuador,292.6
La Equidad,Colombia,270.9
Juan Aurich,Perú,263.5
O'Higgins,Chile,252
Deportivo Binacional,Perú,238.5
Sol de América,Paraguay,233.4
São Caetano,Brasil,228
Coritiba,Brasil,224.2
Banfield,Argentina,219.4
Atlas,México,218
Portuguesa FC (Venezuela),Venezuela,218
Blooming,Bolivia,213.5
Cienciano,Perú,204.4
Monagas SC,Venezuela,195.5
Universidad Católica (Ecuador),Ecuador,185.2
Deportivo Cuenca,Ecuador,182.5
Goiás,Brasil,182.5
Mineros de Guayana,Venezuela,182
Huachipato,Chile,177.5
Pachuca,México,158.6
Cobresal,Chile,154.5
Trujillanos,Venezuela,148
Deportivo Petare,Venezuela,146.5
Sport Boys Warnes,Bolivia,138.5
Sport Huancayo,Perú,138.5
Guarani FC,Brasil,138
Bella Vista,Uruguay,137.5
?guilas Doradas,Colombia,134.7
Deportivo Anzoátegui,Venezuela,134.5
Deportivo La Guaira,Venezuela,122
Unión La Calera,Chile,121.5
Cúcuta,Colombia,118
Universidad César Vallejo,Perú,115.2
Santiago Wanderers,Chile,104.3
Fénix,Uruguay,102.5
Deportivo Galicia,Venezuela,100
Minervén,Venezuela,100
Unión Santa Fe,Argentina,97.5
Monarcas Morelia,México,94.5
Universidad Los Andes Mérida,Venezuela,90
Progreso,Uruguay,85
Cerro,Uruguay,79
Audax Italiano,Chile,79
Real Potosí,Bolivia,78
Belgrano,Argentina,76.8
Gimnasia La Plata,Argentina,76.5
Chiapas F.C.,México,76
Always Ready,Bolivia,69
Criciúma,Brasil,66.5
Everton de Viña del Mar,Chile,66.5
Atlético San Cristóbal,Venezuela,66
Defensor Lima,Perú,66
Universidad San Martín de Porres,Perú,66
Santa Cruz,Brasil,64.8
Marítimo,Venezuela,64
Unión Atlético Maracaibo,Venezuela,64
Unión Huaral,Perú,64
Monterrey,México,62.5
LDU Loja,Ecuador,61.5
Deportivo Capiatá,Paraguay,60.7
Deportivo Municipal (Bolivia),Bolivia,60
Olmedo,Ecuador,60
Macará,Ecuador,58.5
Nacional Potosí,Bolivia,57
Ferro Carril Oeste,Argentina,56
San Luis,México,54.8
Royal Pari,Bolivia,54
Liverpool FC (Montevideo),Uruguay,53.5
Sport Boys,Perú,52
Vitória,Brasil,49.5
Atlético Colegiales,Paraguay,48
Deportes Concepción,Chile,48
Paysandu,Brasil,48
Deportivo Pasto,Colombia,47.4
Guabirá,Bolivia,45.5
Carabobo FC,Venezuela,45
UTC Cajamarca,Perú,43.5
Brasília,Brasil,42
América de Quito,Ecuador,40
Deportivo Municipal,Perú,40
Talleres de Córdoba,Argentina,38.5
León de Huánuco,Perú,36.5
12 de Octubre,Paraguay,32
9 de Octubre,Ecuador,32
Club Deportivo Portugués,Venezuela,32
Necaxa,México,32
Valdéz,Ecuador,32
Valencia Fútbol Club,Venezuela,32
Paraná,Brasil,28
Cerro Largo,Uruguay,28
Club Aurora,Bolivia,25.3
Alfonso Ugarte,Perú,24
Boyacá Chicó,Colombia,24
Pepeganga,Venezuela,24
Quilmes,Argentina,24
Racing Club (Montevideo),Uruguay,24
Santo André,Brasil,24
Aucas,Ecuador,24
Cusco,Perú,24
Plaza Colonia,Uruguay,24
Boston River,Uruguay,22.5
Atlético Goianiense,Brasil,21.6
Unión San Felipe,Chile,20.8
Náutico,Brasil,20.5
31 de Octubre,Bolivia,20
Bucaramanga,Colombia,20
Chaco Petrolero,Bolivia,20
Defensor Arica,Perú,20
Juventude,Brasil,20
Magallanes,Chile,20
Paulista,Brasil,20
Unión Magdalena,Colombia,20
Club General Díaz,Paraguay,18
Deportivo Canarias,Venezuela,16
Espoli,Ecuador,16
Lara FC,Venezuela,16
Rocha FC,Uruguay,16
Técnico Universitario,Ecuador,16
Puebla,México,15
Aragua FC,Venezuela,15
Atlético Grau,Perú,15
Fortaleza EC,Brasil,15
Llaneros de Guanare,Venezuela,15
River Plate (Asunción),Paraguay,15
Antofagasta,Chile,13.5
Ayacucho,Perú,13.5
Deportivo Santaní,Paraguay,13.5
Independiente FBC,Paraguay,13.5
Mushuc Runa,Ecuador,13.5
Colegio San Agustín,Perú,12
Rangers de Talca,Chile,12
Deportes Temuco,Chile,12
Figueirense,Brasil,12
Jaguares de Córdoba,Colombia,12
Rampla Juniors,Uruguay,12
Sport Rosario,Perú,12
Atlético Venezuela,Venezuela,10.5
Club Petrolero,Bolivia,10.5
Comerciantes Unidos,Perú,10.5
Estudiantes de Caracas,Venezuela,10.5
Fuerza Amarilla,Ecuador,10.5
Patriotas Boyacá,Colombia,10.5
Unión Comercio,Perú,10.5
Cuiabá,Brasil,9
Bangu,Brasil,8
Coronel Bolognesi,Perú,8
Cortuluá,Colombia,8
Universitario de La Paz,Bolivia,8
Joinville,Brasil,7.5
Juventud de Las Piedras,Uruguay,7.5
Avaí,Brasil,7.2
D.C. United,Estados Unidos,7.2
Rentistas,Uruguay,6
El Tanque Sisley,Uruguay,4.5
Portuguesa,Brasil,4.5
Atlético Chalaco,Perú,4
Atlético Torino,Perú,4
Deportivo Filanbanco,Ecuador,4
Litoral,Bolivia,4
Envigado,Colombia,3
Tacuary,Paraguay,3
Universidad San Martín,Perú,3
Alianza Atlético,Perú,2.4
Sport Ancash,Perú,2.4
Ceará,Brasil,1.5
Yaracuyanos,Venezuela,1.5
Alajuelense,Costa Rica,0
Atlético Huila,Colombia,0
Central Español,Uruguay,0
Estudiantes Tecos,México,0
Everest Guayaquil,Ecuador,0
Grêmio Barueri,Brasil,0
La Paz FC,Bolivia,0
Motagua,Honduras,0
?ublense,Chile,0
Provincial Osorno,Chile,0
